group,resource country,organization country,resource,role,activity,impact,product,timestamp,case
Org line G3,USA,us,Carolyn,,Accepted,Medium,PROD97,2011/5/17 10:53,1-526344555
Org line G3,USA,us,Carolyn,,Queued,Medium,PROD97,2011/5/17 11:04,1-526344555
Org line G3,Sweden,us,Padmanabha,,Accepted,Medium,PROD97,2011/5/18 2:37,1-526344555
Org line G3,USA,us,Carolyn,,Accepted,Medium,PROD97,2011/5/18 2:37,1-526344555
Org line G3,POLAND,us,Ewa,,Accepted,Medium,PROD97,2012/1/30 20:53,1-526344555
Org line G3,POLAND,us,Ewa,,Completed,Medium,PROD97,2012/1/30 20:55,1-526344555
Org line G3,POLAND,us,Ewa,,Accepted,Medium,PROD98,2012/5/24 13:59,1-749747547
Org line G3,POLAND,us,Ewa,,Completed,Medium,PROD98,2012/5/24 14:00,1-749747547
Org line A2,Sweden,se,Maria,A2_4,Accepted,High,PROD591,2012/2/29 11:16,1-690327801
Org line A2,Sweden,se,Maria,A2_4,Completed,High,PROD591,2012/3/1 13:17,1-690327801
Org line G3,POLAND,us,Ewa,E_4,Accepted,High,PROD98,2012/2/13 13:58,1-672743704
Org line G3,POLAND,us,Ewa,E_4,Completed,High,PROD98,2012/2/14 9:14,1-672743704
Org line A2,Sweden,se,Carin,A2_3,Accepted,Medium,PROD228,2011/5/25 14:21,1-528716762
Org line A2,Sweden,se,Carin,A2_3,Accepted,Medium,PROD228,2011/5/25 14:25,1-528716762
Org line A2,Sweden,se,Carin,A2_3,Accepted,Medium,PROD228,2012/1/3 12:58,1-528716762
Org line A2,Sweden,se,Carin,A2_3,Completed,Medium,PROD228,2012/1/3 12:58,1-528716762
Org line C,Sweden,se,Peter,C_6,Accepted,Low,PROD660,2010/5/6 15:36,1-372029512
Org line C,Sweden,se,Peter,C_6,Unmatched,Low,PROD660,2010/5/6 16:05,1-372029512
Org line C,Sweden,se,Peter,C_6,Queued,Low,PROD660,2010/10/1 14:43,1-372029512
Org line C,Sweden,se,Peter,C_6,Accepted,Low,PROD660,2010/10/4 8:59,1-372029512
Org line C,Sweden,se,Peter,C_6,Accepted,Low,PROD660,2010/10/4 9:00,1-372029512
Org line C,Sweden,se,Tomas,C_6,Accepted,Low,PROD660,2010/10/19 12:43,1-372029512
Org line C,Sweden,se,Tomas,C_6,Accepted,Low,PROD660,2011/10/20 12:21,1-372029512
Org line C,Sweden,se,Tomas,C_6,Completed,Low,PROD660,2012/1/30 12:18,1-372029512
Org line C,Sweden,se,Reine,C_5,Accepted,Low,PROD476,2009/9/22 12:22,1-323264491
Org line C,Sweden,se,Reine,C_5,Accepted,Low,PROD476,2009/9/22 12:25,1-323264491
Org line C,Sweden,se,Reine,C_5,Completed,Low,PROD476,2012/5/24 8:57,1-323264491
