case,activity,timestamp,resource,Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9
802,Assign seriousness,2011/3/7 9:09:57,Value 2,Value 1,Value 13,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
802,Take in charge ticket,2011/3/7 9:10:06,Value 2,Value 1,Value 13,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
802,Resolve ticket,2011/3/8 9:37:41,Value 2,Value 1,Value 13,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
802,Closed,2011/4/14 8:10:42,Value 5,Value 1,Value 13,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
986,Assign seriousness,2013/4/22 12:51:52,Value 14,Value 1,Value 61,Value 2,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
986,Take in charge ticket,2013/4/29 7:50:34,Value 12,Value 1,Value 61,Value 2,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
986,Wait,2013/4/29 8:41:33,Value 12,Value 1,Value 61,Value 2,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
986,Resolve ticket,2013/5/10 7:24:20,Value 12,Value 1,Value 61,Value 2,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
986,Closed,2013/5/25 7:24:42,Value 3,Value 1,Value 61,Value 2,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
3206,Assign seriousness,2012/1/9 9:59:35,Value 1,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3206,Take in charge ticket,2012/1/9 9:59:52,Value 1,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3206,Resolve ticket,2012/1/12 15:24:44,Value 13,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3206,Closed,2012/2/9 10:00:25,Value 5,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
1538,Assign seriousness,2011/1/3 9:00:18,Value 13,Value 1,Value 174,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
1538,Take in charge ticket,2011/1/4 15:05:46,Value 8,Value 1,Value 174,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
1538,Resolve ticket,2011/1/4 15:06:22,Value 8,Value 1,Value 174,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
1538,Closed,2011/2/20 9:10:35,Value 5,Value 1,Value 174,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
2988,Assign seriousness,2013/5/22 15:02:26,Value 14,Value 1,Value 116,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2988,Resolve ticket,2013/6/25 12:44:06,Value 2,Value 1,Value 116,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2988,Resolve ticket,2013/6/25 12:44:07,Value 2,Value 1,Value 116,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2988,Closed,2013/7/10 12:44:24,Value 3,Value 1,Value 116,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
806,Assign seriousness,2012/2/27 11:50:44,Value 1,Value 1,Value 92,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
806,Take in charge ticket,2012/2/27 13:41:41,Value 6,Value 1,Value 92,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
806,Wait,2012/2/28 17:09:42,Value 12,Value 1,Value 92,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
806,Resolve ticket,2012/3/19 8:29:33,Value 12,Value 1,Value 92,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
806,Closed,2012/4/3 7:29:45,Value 5,Value 1,Value 92,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
2562,Insert ticket,2010/5/27 15:37:37,Value 15,Value 1,Value 73,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
2562,Assign seriousness,2010/5/28 9:00:17,Value 15,Value 1,Value 73,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
2562,Assign seriousness,2010/5/28 16:02:49,Value 2,Value 1,Value 73,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
2562,Take in charge ticket,2010/5/28 16:03:05,Value 2,Value 1,Value 73,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
2562,Resolve ticket,2010/6/1 10:03:43,Value 2,Value 1,Value 73,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
2562,Closed,2010/7/7 15:40:18,Value 5,Value 1,Value 73,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
4339,Assign seriousness,2010/7/22 15:27:31,Value 19,Value 1,Value 92,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
4339,Assign seriousness,2010/7/26 8:13:14,Value 2,Value 1,Value 92,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
4339,Take in charge ticket,2010/7/28 10:48:47,Value 6,Value 1,Value 92,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
4339,Resolve ticket,2010/7/28 10:49:16,Value 6,Value 1,Value 92,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
4339,Closed,2010/9/4 15:30:30,Value 5,Value 1,Value 92,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
1733,Assign seriousness,2010/10/20 15:17:43,Value 2,Value 1,Value 312,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
1733,Take in charge ticket,2010/11/5 9:26:11,Value 2,Value 1,Value 312,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
1733,Resolve ticket,2010/11/5 10:24:31,Value 2,Value 1,Value 312,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
1733,Closed,2010/11/20 10:24:55,Value 5,Value 1,Value 312,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
2468,Assign seriousness,2011/2/24 13:22:01,Value 8,Value 1,Value 27,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2468,Take in charge ticket,2011/2/24 13:22:22,Value 8,Value 1,Value 27,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2468,Wait,2011/2/24 14:23:16,Value 9,Value 1,Value 27,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2468,Take in charge ticket,2011/3/9 10:03:36,Value 9,Value 1,Value 27,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2468,Resolve ticket,2011/3/9 10:03:52,Value 9,Value 1,Value 27,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
2468,Closed,2011/4/9 8:12:25,Value 5,Value 1,Value 27,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3049,Assign seriousness,2011/5/23 14:06:55,Value 8,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3049,Take in charge ticket,2011/5/23 14:07:12,Value 8,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3049,Wait,2011/5/23 14:09:46,Value 8,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3049,Take in charge ticket,2011/5/23 15:39:55,Value 8,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3049,Resolve ticket,2011/5/23 15:40:05,Value 8,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
