org:group,resource country,organization country,resource,org:role,activity,impact,product,timestamp,case
Org line G3,USA,us,Carolyn,,Accepted,Medium,PROD97,2011/5/17 10:53:00,1-526344555
Org line G3,USA,us,Carolyn,,Queued,Medium,PROD97,2011/5/17 11:04:18,1-526344555
Org line G3,Sweden,us,Padmanabha,,Accepted,Medium,PROD97,2011/5/18 2:37:22,1-526344555
Org line G3,USA,us,Carolyn,,Accepted,Medium,PROD97,2011/5/18 2:37:27,1-526344555
Org line G3,POLAND,us,Ewa,,Accepted,Medium,PROD97,2012/1/30 20:53:30,1-526344555
Org line G3,POLAND,us,Ewa,,Completed,Medium,PROD97,2012/1/30 20:55:33,1-526344555
Org line G3,POLAND,us,Ewa,,Accepted,Medium,PROD98,2012/5/24 13:59:11,1-749747547
Org line G3,POLAND,us,Ewa,,Completed,Medium,PROD98,2012/5/24 14:00:55,1-749747547
Org line A2,Sweden,se,Maria,A2_4,Accepted,High,PROD591,2012/2/29 11:16:36,1-690327801
Org line A2,Sweden,se,Maria,A2_4,Completed,High,PROD591,2012/3/1 13:17:13,1-690327801
Org line G3,POLAND,us,Ewa,E_4,Accepted,High,PROD98,2012/2/13 13:58:36,1-672743704
Org line G3,POLAND,us,Ewa,E_4,Completed,High,PROD98,2012/2/14 9:14:30,1-672743704
Org line A2,Sweden,se,Carin,A2_3,Accepted,Medium,PROD228,2011/5/25 14:21:09,1-528716762
Org line A2,Sweden,se,Carin,A2_3,Accepted,Medium,PROD228,2011/5/25 14:25:44,1-528716762
Org line A2,Sweden,se,Carin,A2_3,Accepted,Medium,PROD228,2012/1/3 12:58:05,1-528716762
Org line A2,Sweden,se,Carin,A2_3,Completed,Medium,PROD228,2012/1/3 12:58:52,1-528716762
Org line C,Sweden,se,Peter,C_6,Accepted,Low,PROD660,2010/5/6 15:36:41,1-372029512
Org line C,Sweden,se,Peter,C_6,Unmatched,Low,PROD660,2010/5/6 16:05:00,1-372029512
Org line C,Sweden,se,Peter,C_6,Queued,Low,PROD660,2010/10/1 14:43:52,1-372029512
Org line C,Sweden,se,Peter,C_6,Accepted,Low,PROD660,2010/10/4 8:59:18,1-372029512
Org line C,Sweden,se,Peter,C_6,Accepted,Low,PROD660,2010/10/4 9:00:12,1-372029512
Org line C,Sweden,se,Tomas,C_6,Accepted,Low,PROD660,2010/10/19 12:43:59,1-372029512
Org line C,Sweden,se,Tomas,C_6,Accepted,Low,PROD660,2011/10/20 12:21:34,1-372029512
Org line C,Sweden,se,Tomas,C_6,Completed,Low,PROD660,2012/1/30 12:18:55,1-372029512
Org line C,Sweden,se,Reine,C_5,Accepted,Low,PROD476,2009/9/22 12:22:05,1-323264491
Org line C,Sweden,se,Reine,C_5,Accepted,Low,PROD476,2009/9/22 12:25:17,1-323264491
Org line C,Sweden,se,Reine,C_5,Completed,Low,PROD476,2012/5/24 8:57:49,1-323264491
Org line F,Sweden,se,Roger,C_5,Accepted,Medium,PROD48,2010/2/15 8:33:11,1-354090772
Org line F,Sweden,se,Roger,C_5,Accepted,Medium,PROD48,2010/2/15 8:34:41,1-354090772
Org line F,Sweden,se,Roger,C_5,Accepted,Medium,PROD48,2010/3/2 12:59:28,1-354090772
Org line A2,Sweden,se,Henrik,A2_2,Queued,Medium,PROD48,2010/3/2 13:01:04,1-354090772
