org:group,resource country,organization country,resource,org:role,activity,impact,product,timestamp,case
Org line G3,USA,us,Carolyn,,Accepted,Medium,PROD97,2011/5/17 10:53:00,1-526344555
Org line G3,USA,us,Carolyn,,Queued,Medium,PROD97,2011/5/17 11:04:18,1-526344555
Org line G3,Sweden,us,Padmanabha,,Accepted,Medium,PROD97,2011/5/18 2:37:22,1-526344555
Org line G3,USA,us,Carolyn,,Accepted,Medium,PROD97,2011/5/18 2:37:27,1-526344555
Org line G3,POLAND,us,Ewa,,Accepted,Medium,PROD97,2012/1/30 20:53:30,1-526344555
Org line G3,POLAND,us,Ewa,,Completed,Medium,PROD97,2012/1/30 20:55:33,1-526344555
Org line G3,POLAND,us,Ewa,,Accepted,Medium,PROD98,2012/5/24 13:59:11,1-749747547
Org line G3,POLAND,us,Ewa,,Completed,Medium,PROD98,2012/5/24 14:00:55,1-749747547
Org line A2,Sweden,se,Maria,A2_4,Accepted,High,PROD591,2012/2/29 11:16:36,1-690327801
Org line A2,Sweden,se,Maria,A2_4,Completed,High,PROD591,2012/3/1 13:17:13,1-690327801
Org line C,INDIA,us,Arun,E_4,Accepted,Low,PROD423,2011/8/3 5:37:05,1-544876956
Org line C,INDIA,us,Arun,E_4,Accepted,Low,PROD423,2011/12/21 8:12:45,1-544876956
Org line C,INDIA,us,Arun,E_4,Completed,Low,PROD423,2012/1/24 8:17:58,1-544876956
Org line G3,POLAND,us,Ewa,E_4,Accepted,High,PROD98,2012/2/13 13:58:36,1-672743704
Org line G3,POLAND,us,Ewa,E_4,Completed,High,PROD98,2012/2/14 9:14:30,1-672743704
Org line A2,Sweden,se,Linda,A2_2,Accepted,Low,PROD215,2011/6/29 11:44:22,1-537601770
Org line A2,Sweden,se,Linda,A2_2,Queued,Low,PROD215,2011/6/29 12:04:39,1-537601770
Org line A2,Sweden,se,Linda,A2_2,Accepted,Low,PROD215,2011/7/1 7:27:35,1-537601770
Org line A2,Sweden,se,Linda,A2_2,Accepted,Low,PROD215,2012/4/4 15:27:27,1-537601770
Org line A2,Sweden,se,Linda,A2_2,Completed,Low,PROD215,2012/5/21 13:05:06,1-537601770
Org line C,Sweden,se,Reine,C_5,Accepted,Low,PROD476,2009/9/22 12:22:05,1-323264491
Org line C,Sweden,se,Reine,C_5,Accepted,Low,PROD476,2009/9/22 12:25:17,1-323264491
Org line C,Sweden,se,Reine,C_5,Completed,Low,PROD476,2012/5/24 8:57:49,1-323264491
Org line F,Sweden,se,Roger,C_5,Accepted,Medium,PROD48,2010/2/15 8:33:11,1-354090772
Org line F,Sweden,se,Roger,C_5,Accepted,Medium,PROD48,2010/2/15 8:34:41,1-354090772
Org line F,Sweden,se,Roger,C_5,Accepted,Medium,PROD48,2010/3/2 12:59:28,1-354090772
Org line A2,Sweden,se,Henrik,A2_2,Queued,Medium,PROD48,2010/3/2 13:01:04,1-354090772
Org line A2,Sweden,se,Henrik,A2_2,Accepted,Medium,PROD48,2010/3/2 13:07:11,1-354090772
Org line A2,POLAND,se,Ewa,A2_2,Accepted,Medium,PROD48,2010/3/2 13:07:48,1-354090772
Org line A2,POLAND,se,Ewa,A2_2,Accepted,Medium,PROD48,2010/3/2 13:11:18,1-354090772
