org:group,resource country,organization country,resource,org:role,activity,impact,product,timestamp,case
Org line C,INDIA,us,Arun,E_4,Accepted,Low,PROD423,2011/8/3 5:37:05,1-544876956
Org line C,INDIA,us,Arun,E_4,Accepted,Low,PROD423,2011/12/21 8:12:45,1-544876956
Org line C,INDIA,us,Arun,E_4,Completed,Low,PROD423,2012/1/24 8:17:58,1-544876956
Org line A2,Sweden,se,Carin,A2_3,Accepted,Medium,PROD228,2011/5/25 14:21:09,1-528716762
Org line A2,Sweden,se,Carin,A2_3,Accepted,Medium,PROD228,2011/5/25 14:25:44,1-528716762
Org line A2,Sweden,se,Carin,A2_3,Accepted,Medium,PROD228,2012/1/3 12:58:05,1-528716762
Org line A2,Sweden,se,Carin,A2_3,Completed,Medium,PROD228,2012/1/3 12:58:52,1-528716762
Org line A2,Sweden,se,Linda,A2_2,Accepted,Low,PROD215,2011/6/29 11:44:22,1-537601770
Org line A2,Sweden,se,Linda,A2_2,Queued,Low,PROD215,2011/6/29 12:04:39,1-537601770
Org line A2,Sweden,se,Linda,A2_2,Accepted,Low,PROD215,2011/7/1 7:27:35,1-537601770
Org line A2,Sweden,se,Linda,A2_2,Accepted,Low,PROD215,2012/4/4 15:27:27,1-537601770
Org line A2,Sweden,se,Linda,A2_2,Completed,Low,PROD215,2012/5/21 13:05:06,1-537601770
Org line C,Sweden,se,Peter,C_6,Accepted,Low,PROD660,2010/5/6 15:36:41,1-372029512
Org line C,Sweden,se,Peter,C_6,Unmatched,Low,PROD660,2010/5/6 16:05:00,1-372029512
Org line C,Sweden,se,Peter,C_6,Queued,Low,PROD660,2010/10/1 14:43:52,1-372029512
Org line C,Sweden,se,Peter,C_6,Accepted,Low,PROD660,2010/10/4 8:59:18,1-372029512
Org line C,Sweden,se,Peter,C_6,Accepted,Low,PROD660,2010/10/4 9:00:12,1-372029512
Org line C,Sweden,se,Tomas,C_6,Accepted,Low,PROD660,2010/10/19 12:43:59,1-372029512
Org line C,Sweden,se,Tomas,C_6,Accepted,Low,PROD660,2011/10/20 12:21:34,1-372029512
Org line C,Sweden,se,Tomas,C_6,Completed,Low,PROD660,2012/1/30 12:18:55,1-372029512
Org line G4,Sweden,se,Per,A2_2,Accepted,Low,PROD374,2010/9/23 17:58:12,1-404084309
