group,resource country,organization country,resource,role,activity,impact,product,timestamp,case
Org line C,INDIA,us,Arun,E_4,Accepted,Low,PROD423,2011/8/3 5:37,1-544876956
Org line C,INDIA,us,Arun,E_4,Accepted,Low,PROD423,2011/12/21 8:12,1-544876956
Org line C,INDIA,us,Arun,E_4,Completed,Low,PROD423,2012/1/24 8:17,1-544876956
Org line A2,Sweden,se,Carin,A2_3,Accepted,Medium,PROD228,2011/5/25 14:21,1-528716762
Org line A2,Sweden,se,Carin,A2_3,Accepted,Medium,PROD228,2011/5/25 14:25,1-528716762
Org line A2,Sweden,se,Carin,A2_3,Accepted,Medium,PROD228,2012/1/3 12:58,1-528716762
Org line A2,Sweden,se,Carin,A2_3,Completed,Medium,PROD228,2012/1/3 12:58,1-528716762
Org line A2,Sweden,se,Linda,A2_2,Accepted,Low,PROD215,2011/6/29 11:44,1-537601770
Org line A2,Sweden,se,Linda,A2_2,Queued,Low,PROD215,2011/6/29 12:04,1-537601770
Org line A2,Sweden,se,Linda,A2_2,Accepted,Low,PROD215,2011/7/1 7:27,1-537601770
Org line A2,Sweden,se,Linda,A2_2,Accepted,Low,PROD215,2012/4/4 15:27,1-537601770
Org line A2,Sweden,se,Linda,A2_2,Completed,Low,PROD215,2012/5/21 13:05,1-537601770
Org line C,Sweden,se,Peter,C_6,Accepted,Low,PROD660,2010/5/6 15:36,1-372029512
Org line C,Sweden,se,Peter,C_6,Unmatched,Low,PROD660,2010/5/6 16:05,1-372029512
Org line C,Sweden,se,Peter,C_6,Queued,Low,PROD660,2010/10/1 14:43,1-372029512
Org line C,Sweden,se,Peter,C_6,Accepted,Low,PROD660,2010/10/4 8:59,1-372029512
Org line C,Sweden,se,Peter,C_6,Accepted,Low,PROD660,2010/10/4 9:00,1-372029512
Org line C,Sweden,se,Tomas,C_6,Accepted,Low,PROD660,2010/10/19 12:43,1-372029512
Org line C,Sweden,se,Tomas,C_6,Accepted,Low,PROD660,2011/10/20 12:21,1-372029512
Org line C,Sweden,se,Tomas,C_6,Completed,Low,PROD660,2012/1/30 12:18,1-372029512
Org line G4,Sweden,se,Per,A2_2,Accepted,Low,PROD374,2010/9/23 17:58,1-404084309
Org line G4,Sweden,se,Per,A2_2,Accepted,Low,PROD374,2011/1/14 13:54,1-404084309
Org line G4,Sweden,se,Per,A2_2,Accepted,Low,PROD374,2012/2/29 14:32,1-404084309
Org line G4,Sweden,se,Per,A2_2,Completed,Low,PROD374,2012/2/29 14:32,1-404084309
Org line A2,POLAND,kr,Piotr,D_1,Accepted,Medium,PROD604,2011/4/28 14:29,1-521628291
Org line A2,POLAND,kr,Piotr,D_1,Completed,Medium,PROD604,2012/5/29 15:02,1-521628291
Org line G3,USA,us,Carolyn,D_1,Accepted,Medium,PROD98,2010/9/20 12:15,1-403006315
Org line G3,USA,us,Carolyn,D_1,Queued,Medium,PROD98,2010/9/20 12:24,1-403006315
Org line G3,Sweden,us,Kannan,D_1,Accepted,Medium,PROD98,2010/9/20 12:42,1-403006315
Org line G3,USA,us,Carolyn,D_1,Accepted,Medium,PROD98,2010/9/20 12:42,1-403006315
Org line A2,Sweden,us,Kannan,A2_2,Accepted,Medium,PROD98,2010/9/23 18:38,1-403006315
Org line A2,Sweden,us,Y,A2_2,Accepted,Medium,PROD98,2010/9/23 18:38,1-403006315
Org line A2,Sweden,us,Y,A2_2,Accepted,Medium,PROD98,2010/9/24 7:53,1-403006315
Org line G3,USA,us,Carolyn,A2_2,Queued,Medium,PROD98,2010/9/24 8:50,1-403006315
Org line G3,Sweden,us,Kannan,A2_2,Accepted,Medium,PROD98,2010/9/24 16:28,1-403006315
Org line G3,USA,us,Carolyn,A2_2,Accepted,Medium,PROD98,2010/9/24 16:28,1-403006315
Org line G3,POLAND,us,Ewa,A2_2,Accepted,Medium,PROD98,2012/1/31 8:54,1-403006315
Org line G3,POLAND,us,Ewa,A2_2,Completed,Medium,PROD98,2012/1/31 8:59,1-403006315
Org line C,Sweden,se,Maria,E_7,Queued,High,PROD153,2010/6/4 15:58,1-378050311
Org line C,Sweden,se,Peter,E_7,Accepted,High,PROD153,2010/6/22 9:37,1-378050311
Org line C,Belgium,se,Christophe,E_7,Accepted,High,PROD153,2010/6/22 11:51,1-378050311
Org line C,Sweden,se,Bo,E_7,Accepted,High,PROD153,2010/6/24 10:17,1-378050311
Org line C,Sweden,se,Peter,E_7,Accepted,High,PROD153,2010/7/9 9:03,1-378050311
Org line C,Sweden,se,Peter,E_7,Accepted,High,PROD153,2010/7/9 9:05,1-378050311
Org line C,Sweden,se,Maria,E_7,Queued,High,PROD153,2010/11/7 13:44,1-378050311
Org line C,Sweden,se,Peter,E_7,Accepted,High,PROD153,2010/11/8 12:35,1-378050311
Org line C,Sweden,se,Mattias,C_4,Queued,High,PROD153,2010/11/8 12:36,1-378050311
Org line C,Sweden,se,Per,C_4,Accepted,High,PROD153,2010/11/24 10:06,1-378050311
Org line C,Sweden,se,Per,C_4,Completed,High,PROD153,2010/11/24 12:46,1-378050311
Org line C,Sweden,se,Per,C_4,Accepted,High,PROD153,2010/11/24 15:23,1-378050311
Org line C,Sweden,se,Per,C_4,Completed,High,PROD153,2010/11/24 15:34,1-378050311
Org line C,Sweden,se,Per,C_4,Accepted,High,PROD153,2010/11/24 15:36,1-378050311
Org line F,Sweden,se,Craig,C_4,Queued,High,PROD153,2011/11/30 12:59,1-378050311
Org line F,Sweden,se,Stefan,C_4,Accepted,High,PROD153,2012/2/27 7:12,1-378050311
Org line F,Sweden,se,Stefan,C_4,Completed,High,PROD153,2012/2/27 7:13,1-378050311
Org line C,Sweden,se,Curt,E_1,Queued,High,PROD24,2011/6/28 14:57,1-537311033
Org line C,Sweden,se,Curt,C_1,Accepted,High,PROD24,2011/8/25 14:31,1-537311033
Org line C,Sweden,se,Curt,C_1,Completed,High,PROD24,2012/1/18 12:18,1-537311033
Org line C,Belgium,fr,Peter,E_1,Queued,Major,PROD816,2012/5/2 15:57,1-738626601
Org line C,France,fr,Raphael,C_1,Accepted,Major,PROD816,2012/5/2 15:57,1-738626601
Org line C,France,fr,Celine,V3_3,Accepted,Major,PROD816,2012/5/2 16:04,1-738626601
Org line C,France,fr,Celine,V3_3,Completed,Major,PROD816,2012/5/25 16:42,1-738626601
Org line A2,Sweden,se,Lisbeth,A2_5,Accepted,Medium,PROD320,2011/12/14 11:24,1-623521280
Org line A2,Sweden,se,Lisbeth,A2_5,Accepted,Medium,PROD320,2012/2/6 11:02,1-623521280
Org line A2,Sweden,se,Lisbeth,A2_5,Accepted,Medium,PROD320,2012/2/6 16:05,1-623521280
Org line A2,Sweden,se,Lisbeth,A2_5,Completed,Medium,PROD320,2012/3/9 14:45,1-623521280
Org line G3,USA,us,Carolyn,A2_5,Accepted,Medium,PROD97,2011/3/3 11:21,1-505443989
Org line G3,USA,us,Carolyn,A2_5,Queued,Medium,PROD97,2011/3/3 11:25,1-505443989
Org line G3,Sweden,us,Santhosh,A2_5,Accepted,Medium,PROD97,2011/3/3 11:29,1-505443989
Org line G3,USA,us,Carolyn,A2_5,Accepted,Medium,PROD97,2011/3/3 11:31,1-505443989
Org line G3,POLAND,us,Ewa,A2_5,Accepted,Medium,PROD97,2012/1/30 12:07,1-505443989
Org line G3,POLAND,us,Ewa,A2_5,Completed,Medium,PROD97,2012/1/30 12:08,1-505443989
Org line A2,POLAND,pl,Miroslawa,A2_3,Accepted,Medium,PROD791,2011/11/9 10:41,1-605184371
Org line A2,POLAND,pl,Miroslawa,A2_3,Accepted,Medium,PROD791,2011/12/9 11:47,1-605184371
Org line A2,POLAND,pl,Miroslawa,A2_3,Accepted,Medium,PROD791,2011/12/9 14:06,1-605184371
Org line A2,POLAND,pl,Bartosz,A2_3,Accepted,Medium,PROD791,2012/1/13 9:16,1-605184371
Org line A2,POLAND,pl,Bartosz,A2_3,Accepted,Medium,PROD791,2012/1/20 5:55,1-605184371
Org line A2,POLAND,pl,Bartosz,A2_3,Accepted,Medium,PROD791,2012/2/1 11:45,1-605184371
Org line A2,POLAND,pl,Bartosz,A2_3,Completed,Medium,PROD791,2012/4/13 9:10,1-605184371
Org line C,Sweden,in,Jonas,E_8,Accepted,Medium,PROD476,2011/8/23 7:55,1-560504546
Org line C,Sweden,in,Jonas,E_8,Queued,Medium,PROD476,2011/8/23 8:03,1-560504546
Org line C,INDIA,in,Karthick,E_8,Accepted,Medium,PROD476,2011/10/18 12:42,1-560504546
Org line C,INDIA,in,Karthick,E_8,Accepted,Medium,PROD476,2011/10/18 12:42,1-560504546
Org line C,INDIA,in,Venkata,E_8,Accepted,Medium,PROD476,2011/10/18 12:47,1-560504546
Org line C,INDIA,in,Venkata,E_8,Accepted,Medium,PROD476,2011/11/23 19:51,1-560504546
Org line C,Sweden,in,Venkata,E_8,Accepted,Medium,PROD476,2011/12/13 12:17,1-560504546
Org line C,Sweden,in,Venkata,E_8,Completed,Medium,PROD476,2012/1/18 10:57,1-560504546
Org line G4,Sweden,se,Eric,E_8,Accepted,Medium,PROD374,2011/10/3 12:50,1-580325905
Org line G4,Sweden,se,Eric,E_8,Completed,Medium,PROD374,2012/1/9 9:30,1-580325905
Org line V2,Sweden,se,Eva,E_8,Accepted,Medium,PROD451,2010/3/11 9:02,1-359781492
Org line V2,Sweden,se,Eva,E_8,Completed,Medium,PROD451,2012/3/15 13:27,1-359781492
Org line C,USA,us,Robert,E_4,Queued,High,PROD793,2011/11/1 15:12,1-599626401
Org line C,USA,us,Joshua,E_4,Accepted,High,PROD793,2011/11/7 7:23,1-599626401
Org line C,USA,us,Robert,E_4,Accepted,High,PROD793,2012/1/6 17:54,1-599626401
Org line C,USA,us,Robert,E_4,Completed,High,PROD793,2012/1/6 17:56,1-599626401
Org line A2,Sweden,se,Michael,A2_4,Accepted,Medium,PROD563,2011/5/4 12:57,1-523027945
Org line A2,Sweden,se,Michael,A2_4,Accepted,Medium,PROD563,2012/4/25 11:54,1-523027945
Org line A2,Sweden,se,Michael,A2_4,Completed,Medium,PROD563,2012/4/25 11:55,1-523027945
Org line G3,USA,us,Carolyn,A2_4,Accepted,Low,PROD95,2010/4/16 16:34,1-367648732
Org line G3,USA,us,Carolyn,A2_4,Queued,Low,PROD95,2010/4/16 16:42,1-367648732
Org line G3,Sweden,us,Naga,A2_4,Accepted,Low,PROD95,2010/4/16 23:40,1-367648732
Org line G3,USA,us,Carolyn,A2_4,Accepted,Low,PROD95,2010/4/16 23:42,1-367648732
