case,activity,timestamp,resource,Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9
4571,Assign seriousness,2011/2/18 15:52:46,Value 8,Value 1,Value 43,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
4571,Take in charge ticket,2011/2/18 15:54:04,Value 8,Value 1,Value 43,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
4571,Resolve ticket,2011/2/18 16:24:58,Value 13,Value 1,Value 43,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
4571,Closed,2011/4/3 15:02:01,Value 5,Value 1,Value 43,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
986,Assign seriousness,2013/4/22 12:51:52,Value 14,Value 1,Value 61,Value 2,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
986,Take in charge ticket,2013/4/29 7:50:34,Value 12,Value 1,Value 61,Value 2,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
986,Wait,2013/4/29 8:41:33,Value 12,Value 1,Value 61,Value 2,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
986,Resolve ticket,2013/5/10 7:24:20,Value 12,Value 1,Value 61,Value 2,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
986,Closed,2013/5/25 7:24:42,Value 3,Value 1,Value 61,Value 2,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
2988,Assign seriousness,2013/5/22 15:02:26,Value 14,Value 1,Value 116,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2988,Resolve ticket,2013/6/25 12:44:06,Value 2,Value 1,Value 116,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2988,Resolve ticket,2013/6/25 12:44:07,Value 2,Value 1,Value 116,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
2988,Closed,2013/7/10 12:44:24,Value 3,Value 1,Value 116,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
3471,Assign seriousness,2011/10/21 10:47:32,Value 1,Value 1,Value 17,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3471,Take in charge ticket,2011/10/24 15:32:26,Value 9,Value 1,Value 17,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3471,Resolve ticket,2011/10/24 15:40:28,Value 15,Value 1,Value 17,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3471,Closed,2011/11/23 11:50:41,Value 5,Value 1,Value 17,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
4249,Assign seriousness,2012/3/19 11:18:58,Value 1,Value 1,Value 63,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
4249,Take in charge ticket,2012/3/20 11:45:59,Value 13,Value 1,Value 63,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
4249,Resolve ticket,2012/3/22 14:47:44,Value 13,Value 1,Value 63,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
4249,Closed,2012/5/4 10:20:24,Value 5,Value 1,Value 63,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
4436,Assign seriousness,2011/9/23 7:06:00,Value 1,Value 1,Value 222,Value 2,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
4436,Take in charge ticket,2011/9/26 13:38:29,Value 1,Value 1,Value 222,Value 2,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
4436,Resolve ticket,2011/9/29 8:42:06,Value 1,Value 1,Value 222,Value 2,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
4436,Take in charge ticket,2011/9/29 9:23:39,Value 1,Value 1,Value 222,Value 2,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
4436,Resolve ticket,2011/9/30 14:00:08,Value 6,Value 1,Value 222,Value 2,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
4436,Closed,2011/11/10 8:10:26,Value 5,Value 1,Value 222,Value 2,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
16,Assign seriousness,2012/2/22 14:16:52,Value 1,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
16,Take in charge ticket,2012/2/22 16:14:07,Value 9,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
